"Date","Hospital"," ICU","Hospitalisations exc. QLD / NT incidental admissions"
"21/04","3,320","146",""
"22/04/2022","3,236","134",""
"23/04/2022","3,210","133",""
"24/04/2022","3,152","135",""
"25/04/2022","3,189","132",""
"26/04/2022","3,291","141",""
"27/04/2022","3,391","142",""
"28/04/2022","3,330","149",""
"29/04/2022","3,169","137",""
"30/04/2022","3,177","139",""
"01/05/2022","3,099","149",""
"02/05/2022","3,218","136",""
"03/05/2022","3,088","143",""
"04/05/2022","3,104","142",""
"05/05/2022","3,131","133",""
"06/05/2022","3,125","126",""
"07/05/2022","3,071","130",""
"08/05/2022","3,073","131",""
"09/05/2022","3,139","129",""
"10/05/2022","3,168","123",""
"11/05/2022","3,102","114",""
"12/05/2022","3,004","122",""
"13/05/2022","2,933","123",""
"14/05/2022","2,956","121",""
"15/05/2022","2,988","129",""
"16/05/2022","3,101","138",""
"17/05/2022","3,162","131",""
"18/05/2022","3,134","134",""
"19/05/2022","2,986","121",""
"20/05/2022","2,891","118",""
"21/05/2022","2,829","107",""
"22/05/2022","2,844","108",""
"23/05/2022","2,912","107",""
"24/05/2022","2,927","117",""
"25/05/2022","2,889","108",""
"26/05/2022","2,905","101",""
"27/05/2022","2,863","99",""
"28/05/2022","2,715","92",""
"29/05/2022","2,712","90",""
"30/05/2022","2,774","97",""
"31/05/2022","2,777","92",""
"01/06/2022","2,686","87",""
"02/06/2022","2,570","85",""
"03/06/2022","2,723","87",""
"04/06/2022","2,660","83",""
"05/06/2022","2,689","89",""
"06/06/2022","2,756","94",""
"07/06/2022","2,804","87",""
"08/06/2022","2,778","99",""
"09/06/2022","2,744","102",""
"10/06/2022","2,707","101",""
"11/06/2022","2,656","95",""
"12/06/2022","2,682","96",""
"13/06/2022","2,733","86",""
"14/06/2022","2,851","102",""
"15/06/2022","2,887","104",""
"16/06/2022","2,818","97",""
"17/06/2022","2,817","93",""
"18/06/2022","2,815","103",""
"19/06/2022","2,905","111",""
"20/06/2022","3,006","113",""
"21/06/2022","3,055","105",""
"22/06/2022","3,022","103",""
"23/06/2022","3,043","108",""
"24/06/2022","2,967","110",""
"25/06/2022","3,046","103",""
"26/06/2022","3,118","107",""
"27/06/2022","3,133","111",""
"28/06/2022","3,276","122",""
"29/06/2022","3,224","108",""
"30/06/2022","3,267","98",""
"01/07/2022","3,272","106",""
"02/07/2022","3,329","109",""
"03/07/2022","3,415","106",""
"04/07/2022","3,511","118",""
"05/07/2022","3,740","123",""
"06/07/2022","3,781","138",""
"07/07/2022","3,899","140",""
"08/07/2022","3,977","141",""
"09/07/2022","4,024","134",""
"10/07/2022","4,094","133",""
"11/07/2022","4,327","131",""
"12/07/2022","4,468","126",""
"13/07/2022","4,477","137",""
"14/07/2022","4,512","139",""
"15/07/2022","4,602","144",""
"16/07/2022","4,733","150",""
"17/07/2022","4,719","155",""
"18/07/2022","5,001","155",""
"19/07/2022","5,239","158",""
"20/07/2022","5,357","169",""
"21/07/2022","5,360","162",""
"22/07/2022","5,307","159",""
"23/07/2022","5,251","158",""
"24/07/2022","5,362","145",""
"25/07/2022","5,433","160",""
"26/07/2022","5,571","165",""
"27/07/2022","5,364","145",""
"28/07/2022","5,245","163",""
"29/07/2022","5,104","161",""
"30/07/2022","5,012","166",""
"31/07/2022","4,925","169",""
"01/08/2022","4,992","179",""
"02/08/2022","5,002","184",""
"03/08/2022","4,861","162",""
"04/08/2022","4,702","161",""
"05/08/2022","4,613","155",""
"06/08/2022","4,483","149",""
"07/08/2022","4,431","159",""
"08/08/2022","4,484","154",""
"09/08/2022","4,611","141",""
"10/08/2022","4,343","125",""
"11/08/2022","4,274","135",""
"12/08/2022","4,098","140",""
"13/08/2022","3,981","137",""
"14/08/2022","3,991","139",""
"15/08/2022","4,013","138",""
"16/08/2022","3,982","140",""
"17/08/2022","3,807","122",""
"18/08/2022","3,726","122",""
"19/08/2022","3,621","119",""
"20/08/2022","3,477","126",""
"21/08/2022","3,433","112",""
"22/08/2022","3,429","104",""
"23/08/2022","3,453","102",""
"24/08/2022","3,324","96",""
"25/08/2022","3,237","95",""
"26/08/2022","3,110","93",""
"27/08/2022","3,087","97",""
"28/08/2022","3,010","95",""
"29/08/2022","3,036","95",""
"30/08/2022","3,004","86",""
"31/08/2022","2,937","84",""
"01/09/2022","2,863","74",""
"02/09/2022","2,765","74",""
"03/09/2022","2,718","79",""
"04/09/2022","2,701","83",""
"05/09/2022","2,694","84",""
"06/09/2022","2,599","77",""
"07/09/2022","2,460","80",""
"08/09/2022","2,388","64",""
"09/09/2022","2,339","60",""
"10/09/2022","2,332","55",""
"11/09/2022","2,332","56",""
"12/09/2022","2,332","56",""
"13/09/2022","2,346","52",""
"14/09/2022","2,337","57",""
"15/09/2022","2,337","57",""
"16/09/2022","1,991","54",""
"17/09/2022","2,004","55",""
"18/09/2022","1,963","51",""
"19/09/2022","1,956","53",""
"20/09/2022","1,950","53",""
"21/09/2022","1,937","52",""
"22/09/2022","1,931","51",""
"23/09/2022","1,763","48",""
"24/09/2022","1,763","48",""
"25/09/2022","1,763","48",""
"26/09/2022","1,763","48",""
"27/09/2022","1,763","48",""
"28/09/2022","1,763","48",""
"29/09/2022","1,763","48",""
"30/09/2022","1,563","45",""
"01/10/2022","1,563","45",""
"02/10/2022","1,563","45",""
"03/10/2022","1,563","45",""
"04/10/2022","1,563","45",""
"05/10/2022","1,563","45",""
"06/10/2022","1,563","45",""
"07/10/2022","1,465","43",""
