,VIC,NSW,QLD,SA,WA,TAS,NT,ACT,National
3/3/2020,0,6,0,0,0,0,0,0,4
4/3/2020,1,7,1,0,0,1,0,0,8
5/3/2020,0,3,1,2,0,0,0,0,11
6/3/2020,0,3,2,2,1,0,0,0,8
7/3/2020,1,8,1,0,0,0,0,0,4
8/3/2020,1,4,0,0,0,1,0,0,10
9/3/2020,3,7,1,0,1,0,0,0,7
10/3/2020,3,14,0,0,2,0,0,0,12
11/3/2020,3,4,3,0,0,0,0,0,20
12/3/2020,6,13,2,2,3,1,0,0,15
13/03/20,9,14,7,3,0,0,0,1,30
14/03/20,13,20,8,4,5,1,0,0,41
15/03/20,8,22,11,3,3,1,0,0,51
16/03/20,14,37,15,1,1,1,0,0,48
17/03/20,23,39,7,9,10,1,0,1,79
18/03/20,27,57,10,3,3,0,0,0,78
19/03/20,29,40,16,5,4,3,0,1,113
20/03/20,28,46,50,5,17,0,0,1,142
21/03/20,51,83,40,8,12,0,2,2,138
22/03/20,67,97,37,17,26,7,2,3,226
23/03/20,61,136,38,33,30,5,0,10,280
24/03/20,56,149,60,34,20,6,0,13,330
25/03/20,55,211,78,36,35,8,1,7,370
26/03/20,54,190,46,27,30,6,0,5,380
27/03/20,54,186,50,38,26,5,7,9,379
28/03/20,111,212,62,22,24,12,2,9,371
29/03/20,84,174,70,30,23,4,1,9,460
30/03/20,52,127,31,12,33,4,0,6,344
31/03/20,96,114,33,6,44,3,0,1,266
1/4/2020,51,150,55,32,9,0,4,2,312
2/4/2020,68,116,40,30,28,2,0,5,306
3/4/2020,49,91,57,18,8,3,3,4,277
4/4/2020,30,104,39,11,22,6,4,4,226
5/4/2020,20,87,27,11,14,2,0,2,190
6/4/2020,23,57,9,2,17,4,1,3,143
7/4/2020,33,49,14,2,7,3,1,0,107
8/4/2020,21,48,13,4,10,9,0,1,119
9/4/2020,16,39,9,5,11,9,0,2,105
10/4/2020,13,49,10,1,14,4,0,1,85
11/4/2020,24,44,13,7,11,11,0,3,107
12/4/2020,3,7,9,1,8,11,0,0,97
13/04/20,13,9,12,0,3,11,0,0,36
14/04/20,10,7,7,2,6,6,0,1,44
15/04/20,8,16,11,2,4,15,0,0,49
16/04/20,2,11,5,0,5,4,0,0,38
17/04/20,1,29,5,1,3,11,0,0,33
18/04/20,17,10,6,1,6,4,0,0,47
19/04/20,9,21,9,0,3,4,0,0,43
20/04/20,1,6,5,0,1,9,0,0,45
21/04/20,7,6,0,0,0,3,0,1,11
22/04/20,2,5,6,2,1,1,0,0,23
23/04/20,1,5,0,1,0,4,0,0,12
