Site_ID,Site_Name,Facility,Website,Phone,Attendance_Instructions,Site_Facilities,Service_Availability,Address,Suburb,State,Postcode,LGA,Latitude,Longitude,Delay,DelayText,Requirements,SymptomaticTestingOnly,Directions,TestTracker,AgeLimit,AddressOther,ServiceType,FacilityType,ServiceFormat,Mo_Start,Mo_End,Tu_Start,Tu_End,We_Start,We_End,Th_Start,Th_End,Fr_Start,Fr_End,Sa_Start,Sa_End,Su_Start,Su_End,Start_Lunch,End_Lunch,Description,Translation_Services,Toilets_Available,Parking_Options,Accessible_Parking,Status,StatusAlert,LastUpdatedTime
"4555","Alexandra District Health - Urgent Care Centre","Hospital Respiratory Clinic",,"0418 589131 ","• PCR testing available <br> • RAT kits available <br> • Park in marked bays and call 0418589131 to advise staff on arrival <br> • UCC in marked bays 9am-10am (citizens to call on arrival) <br>",,"Mon,Wed,Fri 9am-10am, Tue,Thu,Sat-Sun Closed.","24 Cooper Street","Alexandra","VIC","3714",,"-37.194196250147584","145.71653843866815",,"","","No","Use Street Address","Yes","All ages",,"Public Health Service","Hospital","Drive Through","9:00 AM","10:00 AM",,,"9:00 AM","10:00 AM",,,"9:00 AM","10:00 AM",,,,,,,,,,,,"Open",,"2022-07-19 17:37:42"
"3963","Dorevitch - Altona - Walk Through","Pathology Collection Centre","https://www.dorevitch.com.au/covid-19/","03 9398 5642","• PCR testing available <br>• Request forms required for testing ",,"Mon-Fri 8:30am-4pm, Sat-Sun 8:30am-12pm.","Unit 1 & 2, 99 Pier Street","Altona","VIC","3018",,"-37.866691","144.8304573",,"","","No","Use Street Address","No","All ages",,"Pathology Collection Centre","Fixed Clinic","Walk Through","8:30 AM","4:00 PM","8:30 AM","4:00 PM","8:30 AM","4:00 PM","8:30 AM","4:00 PM","8:30 AM","4:00 PM","8:30 AM","12:00 PM","8:30 AM","12:00 PM",,,,,"Yes",,,"Open",,"2022-09-26 13:46:37"
"4441","4Cyte Pathology - Ascot Vale - Drive Through","Pathology Collection Centre","https://www.4cyte.com.au/",,"• PCR testing available <br> • Walk-in also accepted  <br> • No booking required <br> • International travellers will need to visit www 4cyte com au and complete International Travellers details <br> • For international travel please visit 4cyte website for more information ",,"Mon-Sat 8am-12pm, Sun 9am-12pm.","468 Mt Alexander Road","Ascot Vale","VIC","3032",,"-37.775739494180335","144.928899081922",,"","","No","Use Street Address","No","All ages",,"Pathology Collection Centre","Other","Drive Through","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","9:00 AM","12:00 PM",,,,,,,,"Open",,"2022-10-12 09:57:58"
"4623","M3 Health Ascot Vale Respiratory Clinic - Symptomatic testing only","Walk-through Testing Facility","https://www.m3health.com.au/m3-health-ascot-vale-respiratory-clinic/","03 9326 2098","• PCR testing available <br>
• Respiratory assessments for symptomatic patients only <br>• No asymptomatic COVID-19 testing (including pre travel PCR tests)","Wheelchair accessible","Mon-Sun 9am-5pm.","63-65 Union Road","Ascot Vale","VIC","3032",,"-37.777667589108916","144.91486253936492",,"","","No","Use Street Address","No","All ages","Parking on Union Road and Geddes Street. Symptomatic respiratory assessments or testing ONLY.","GP Respiratory Clinic","Fixed Clinic","Walk Through","9:00 AM","5:00 PM","9:00 AM","5:00 PM","9:00 AM","5:00 PM","9:00 AM","5:00 PM","9:00 AM","5:00 PM","9:00 AM","5:00 PM","9:00 AM","5:00 PM",,,,,,,,"Open",,"2022-09-27 16:37:21"
"4674","Melbourne Pathology - Ascot Vale - Walk Through","Pathology Collection Centre","https://www.mps.com.au/locations/collection-centres/?P=117",," • PCR tests available <br>",,"Mon-Sun 8:30am-4:30pm.","548 Mount Alexander Road","Ascot Vale","VIC","3032",,"-37.773521807116516","144.92770417123396",,"","GP referral required.","No","Use Street Address","No","All ages",,"Pathology Collection Centre","Fixed Clinic","Walk Through","8:30 AM","4:30 PM","8:30 AM","4:30 PM","8:30 AM","4:30 PM","8:30 AM","4:30 PM","8:30 AM","4:30 PM","8:30 AM","4:30 PM","8:30 AM","4:30 PM",,,,,,,,"Open",,"2022-08-05 12:48:14"
"4649","Access Health and Community GP Respiratory Clinic – Karnak Road","Walk-through Testing Facility","Book online by going to the website https://accesshc.org.au/services/respiratory-clinic/","9810 3059, gprc@accesshc.org.au ","• Site will be closed from 1pm to 4pm for weekdays. <br> • Appointments preferred, but walk-ins welcome, subject to availability <br> • Bulk Billing available to all patients with (or without) a valid Medicare card <br> • Symptomatic respiratory assessments and testing ONLY <br> • PCR testing available <br> • No asymptomatic COVID-19 testing (including pre travel PCR tests) <br>",,"Mon-Fri 8am-10pm, Sat-Sun 8am-8pm. Closed 1pm-4pm. <br> Lunch closure only applies to weekdays","47A Karnak Road","Ashburton","VIC","3147",,"-37.87333243403294","145.0735981688411",,"","","No","Use Street Address","No","All ages",,"GP Respiratory Clinic","Fixed Clinic","Walk Through","8:00 AM","10:00 PM","8:00 AM","10:00 PM","8:00 AM","10:00 PM","8:00 AM","10:00 PM","8:00 AM","10:00 PM","8:00 AM","8:00 PM","8:00 AM","8:00 PM","1:00 PM","4:00 PM","<br> Lunch closure only applies to weekdays",,,,,"Open",,"2022-09-29 19:30:14"
"4153","Melbourne Pathology - Balaclava - Walk Through","Pathology Collection Centre","https://www.mps.com.au/locations/collection-centres/?P=117","03 9527 9699","• PCR testing available <br> • By appointment only ",,"Mon-Sun 8:30am-4:30pm.","283B Carlisle Street   ","Balaclava","VIC","3183",,"-37.8691917","144.9961399",,"","GP referral required.","No","Use Street Address","No","All ages",,"Pathology Collection Centre","Fixed Clinic","Walk Through","8:30 AM","4:30 PM","8:30 AM","4:30 PM","8:30 AM","4:30 PM","8:30 AM","4:30 PM","8:30 AM","4:30 PM","8:30 AM","4:30 PM","8:30 AM","4:30 PM",,,,,,,,"Open","Operating with Extended Hours","2022-08-05 12:48:14"
"3909","Ballarat UFS Respiratory Clinic","Walk-through Testing Facility","https://www.hotdoc.com.au/medical-centres/lucas-VIC-3350/ballarat-respiratory-clinic/doctors?purpose=respiratory","03 4311 1571 - By appointment only.","• PCR testing available",,"Mon-Fri 9am-5:30pm, Sat-Sun 9am-4pm.","309 Dana Street","Ballarat","VIC","3350",,"
-37.563921799570416","143.85468352704058",,"","","No","Use Street Address","No","All ages",,"GP Respiratory Clinic","Fixed Clinic","Walk Through","9:00 AM","5:30 PM","9:00 AM","5:30 PM","9:00 AM","5:30 PM","9:00 AM","5:30 PM","9:00 AM","5:30 PM","9:00 AM","4:00 PM","9:00 AM","4:00 PM",,,,,,,,"Open",,"2022-04-22 13:30:02"
"4154","Melbourne Pathology - Ballarat - Walk Through","Pathology Collection Centre","https://www.mps.com.au/locations/collection-centres/?P=117","03 5331 6372","• PCR testing only ",,"Mon-Fri 8:30am-5pm, Sat-Sun Closed. Asymptomatic only – also excludes testing for patients from Tier 1, 2, 3 exposure sites and red and orange zones.","63 Victoria Street","Ballarat","VIC","3350",,"-37.5620626","143.867232",,"","","No","Use Street Address","No","All ages",,"Pathology Collection Centre","Fixed Clinic","Walk Through","8:30 AM","5:00 PM","8:30 AM","5:00 PM","8:30 AM","5:00 PM","8:30 AM","5:00 PM","8:30 AM","5:00 PM",,,,,,,"Asymptomatic only – also excludes testing for patients from Tier 1, 2, 3 exposure sites and red and orange zones.",,,,,"Open",,"2022-08-04 15:03:51"
"4059","4Cyte Pathology - Beaconsfield - Drive Through","Pathology Collection Centre","https://www.4cyte.com.au/Covid19_Location_Beaconsfield.php","0435 292 810","• PCR testing available <br> • Remain in vehicle at all times ",,"Mon-Fri 8am-12pm, Sat-Sun Closed.","20 Woods Street","Beaconsfield","VIC","3807",,"-38.0471201","145.3679976",,"","","No","Use Street Address","No","All ages","Rear car park.","Pathology Collection Centre","Fixed Clinic","Drive Through","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM","8:00 AM","12:00 PM",,,,,,,,,,,,"Open",,"2022-10-12 10:02:49"
