time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-21T19:41:11.465Z,-11.439,119.2406,10,4.7,mb,17,88,2.969,1.27,us,us7000i9zl,2022-09-21T20:34:21.040Z,"south of Sumba, Indonesia",earthquake,3.86,1.954,0.276,4,reviewed,us,us
2022-09-13T13:07:42.772Z,-11.7071,117.1821,10,4.3,mb,14,83,2.921,0.41,us,us7000i9u6,2022-09-21T13:29:13.040Z,"south of Sumbawa, Indonesia",earthquake,7.4,1.956,0.239,6,reviewed,us,us
2022-09-11T04:16:32.732Z,-11.0759,110.8536,17.136,5.4,mb,62,52,3.16,0.63,us,us7000i74s,2022-09-12T04:19:15.811Z,"south of Java, Indonesia",earthquake,7.16,4.027,0.06,99,reviewed,us,us
2022-09-08T07:01:18.881Z,-10.6578,109.6384,10,4.9,mb,39,112,2.864,0.68,us,us6000ii2m,2022-09-08T07:25:40.040Z,"south of Java, Indonesia",earthquake,4.56,1.916,0.114,24,reviewed,us,us
2022-08-28T22:23:01.813Z,-10.5408,113.6109,10,4.4,mb,17,119,2.126,0.74,us,us7000i5fa,2022-09-07T01:55:48.040Z,"south of Java, Indonesia",earthquake,7.01,1.926,0.24,9,reviewed,us,us
2022-08-21T04:37:00.667Z,-30.7615,117.41,10,4.1,mb,15,119,2.065,0.86,us,us6000ichf,2022-09-15T21:44:18.184Z,"114 km NW of Merredin, Australia",earthquake,5.92,1.875,0.185,9,reviewed,us,us
2022-08-16T20:35:07.506Z,-11.4062,117.8447,10,4.4,mb,20,69,2.563,1.25,us,us7000i2c7,2022-09-14T18:25:50.040Z,"south of Sumbawa, Indonesia",earthquake,6.66,1.911,0.218,8,reviewed,us,us
2022-08-14T00:22:14.707Z,-12.1209,122.6035,10,4.2,mb,20,74,3.482,0.54,us,us7000i20m,2022-09-22T23:27:51.040Z,"241 km SSW of Kupang, Indonesia",earthquake,7.68,1.618,0.152,12,reviewed,us,us
2022-08-13T00:18:31.477Z,-11.3824,119.6944,10,4.7,mb,47,82,3.164,0.73,us,us6000iaep,2022-09-19T21:07:23.040Z,"200 km SSW of Waingapu, Indonesia",earthquake,6.49,1.615,0.098,32,reviewed,us,us
2022-08-09T16:28:53.481Z,-10.4484,116.4799,21.334,4.5,mb,38,98,2.056,0.93,us,us6000ibw2,2022-08-22T15:28:44.040Z,"194 km S of Praya, Indonesia",earthquake,7.91,6.385,0.124,19,reviewed,us,us
2022-08-08T08:55:09.096Z,-12.1262,122.7531,10,4.5,mb,37,107,2.786,0.35,us,us6000i90z,2022-09-08T09:26:38.040Z,"235 km SSW of Kupang, Indonesia",earthquake,5.25,1.709,0.107,26,reviewed,us,us
2022-07-24T14:21:40.426Z,-16.8787,130.0865,9.059,4.3,mb,20,89,4.137,0.4,us,us6000i7s4,2022-08-03T16:47:50.040Z,"188 km SE of Kununurra, Australia",earthquake,7.84,4.687,0.137,15,reviewed,us,us
2022-07-07T02:16:04.633Z,-11.4492,118.0873,10,4.3,mb,21,92,4.877,0.91,us,us6000i23c,2022-09-13T06:26:03.040Z,"south of Sumbawa, Indonesia",earthquake,7.5,1.9,0.177,9,reviewed,us,us
2022-07-04T12:53:16.922Z,-10.4131,124.1086,10,4.3,mb,24,89,2.554,0.3,us,us6000i0vw,2022-09-13T06:24:45.040Z,"61 km ESE of Kupang, Indonesia",earthquake,5.7,1.9,0.178,10,reviewed,us,us
2022-07-02T07:16:29.714Z,-10.5694,113.0677,10,4.1,mb,19,61,2.344,0.54,us,us6000i0k0,2022-09-13T06:23:39.040Z,"254 km S of Kencong, Indonesia",earthquake,7,1.9,0.175,10,reviewed,us,us
2022-06-26T16:16:46.597Z,-38.8963,134.6539,10,4.5,mb,13,121,4.799,0.79,us,us6000hyuy,2022-09-03T21:03:22.040Z,"off the south coast of Australia",earthquake,10,1.9,0.221,7,reviewed,us,us
2022-06-18T15:55:01.331Z,-10.9897,115.3475,10,4.5,mb,34,62,2.767,0.76,us,us7000hie4,2022-08-28T03:18:27.040Z,"242 km S of Nusa Dua, Indonesia",earthquake,8.71,1.878,0.104,27,reviewed,us,us
